CASRN,LD50_avg,Toxic_avg-0,Toxic_avg-1,EPA_avg-1,EPA_avg-2,EPA_avg-3,EPA_avg-4,Toxic,EPA_Category,Toxic_zones,EPA_zones,Integrated_zones,model,logLD50_mmolkg,Toxic(Exp),EPA_category(Exp)
1675-54-3,0.774,0.675,0.325,0.006,0.062,0.84,0.093,Nontoxic,EPA 3,OutZone,OutZone,OutZone,Base Models,,1.0,3.0
189624-86-0,-0.246,0.313,0.687,0.047,0.414,0.409,0.13,Toxic,EPA 2,OutZone,InZone,HalfZone_B,Base Models,,1.0,3.0
2019-05-8,0.399,0.301,0.699,0.013,0.348,0.547,0.091,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,,1.0,3.0
20954-15-8,0.616,0.24,0.76,0.004,0.025,0.922,0.049,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,,1.0,3.0
21709-39-7,0.663,0.448,0.552,0.01,0.259,0.598,0.133,Toxic,EPA 3,InZone,OutZone,HalfZone_M,Base Models,,1.0,3.0
23047-25-8,0.359,0.709,0.291,0.014,0.098,0.218,0.67,Nontoxic,EPA 4,OutZone,OutZone,OutZone,Base Models,,1.0,3.0
26095-59-0,0.457,0.509,0.491,0.031,0.113,0.59,0.266,Nontoxic,EPA 3,InZone,OutZone,HalfZone_M,Base Models,,1.0,3.0
30507-70-1,1.44,0.791,0.209,0.006,0.017,0.354,0.623,Nontoxic,EPA 4,OutZone,OutZone,OutZone,Base Models,,1.0,3.0
30560-33-9,-0.105,0.073,0.927,0.11,0.375,0.493,0.021,Toxic,EPA 3,OutZone,InZone,HalfZone_B,Base Models,,1.0,3.0
32654-41-4,0.342,0.069,0.931,0.021,0.836,0.128,0.015,Toxic,EPA 2,OutZone,OutZone,OutZone,Base Models,,1.0,3.0
34580-64-8,0.33,0.135,0.865,0.014,0.062,0.867,0.057,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,,1.0,3.0
34580-69-3,0.305,0.066,0.934,0.01,0.048,0.911,0.031,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,,1.0,3.0
34580-74-0,0.332,0.092,0.908,0.009,0.039,0.907,0.044,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,,1.0,3.0
34614-29-4,0.361,0.075,0.925,0.009,0.037,0.921,0.032,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,,1.0,3.0
34935-16-5,0.799,0.474,0.526,0.01,0.165,0.703,0.122,Toxic,EPA 3,InZone,OutZone,HalfZone_M,Base Models,,1.0,3.0
36146-44-8,0.483,0.365,0.635,0.025,0.237,0.522,0.215,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,,1.0,3.0
39062-67-4,0.307,0.4,0.6,0.012,0.291,0.628,0.069,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,,1.0,3.0
40373-43-1,-0.176,0.084,0.916,0.084,0.343,0.543,0.031,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,,1.0,3.0
40374-18-3,-0.225,0.089,0.911,0.058,0.214,0.68,0.047,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,,1.0,3.0
41817-54-3,0.651,0.426,0.574,0.029,0.139,0.614,0.218,Toxic,EPA 3,InZone,OutZone,HalfZone_M,Base Models,,1.0,3.0
50765-72-5,-0.083,0.062,0.938,0.019,0.678,0.29,0.013,Toxic,EPA 2,OutZone,OutZone,OutZone,Base Models,,1.0,3.0
50765-80-5,0.037,0.068,0.932,0.015,0.168,0.784,0.033,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,,1.0,3.0
50765-84-9,0.017,0.101,0.899,0.054,0.556,0.372,0.018,Toxic,EPA 2,OutZone,OutZone,OutZone,Base Models,,1.0,3.0
50838-36-3,0.243,0.467,0.533,0.067,0.169,0.47,0.294,Toxic,EPA 3,InZone,InZone,InZone,Base Models,,1.0,3.0
52-01-7,0.336,0.76,0.24,0.029,0.07,0.565,0.336,Nontoxic,EPA 3,OutZone,OutZone,OutZone,Base Models,,1.0,3.0
5301-65-5,0.425,0.376,0.624,0.27,0.13,0.478,0.122,Toxic,EPA 3,OutZone,InZone,HalfZone_B,Base Models,,1.0,3.0
55232-82-1,0.308,0.256,0.744,0.013,0.076,0.863,0.048,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,,1.0,3.0
56344-92-4,0.283,0.189,0.811,0.011,0.486,0.457,0.046,Toxic,EPA 2,OutZone,InZone,HalfZone_B,Base Models,,1.0,3.0
5834-96-8,-0.329,0.226,0.774,0.267,0.438,0.227,0.068,Toxic,EPA 2,OutZone,InZone,HalfZone_B,Base Models,,1.0,3.0
58955-81-0,0.449,0.134,0.866,0.021,0.207,0.717,0.055,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,,1.0,3.0
59673-82-4,0.717,0.697,0.303,0.014,0.06,0.738,0.189,Nontoxic,EPA 3,OutZone,OutZone,OutZone,Base Models,,1.0,3.0
640-67-5,1.431,0.725,0.275,0.028,0.114,0.3,0.559,Nontoxic,EPA 4,OutZone,OutZone,OutZone,Base Models,,1.0,3.0
64037-26-9,0.643,0.11,0.89,0.013,0.217,0.732,0.038,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,,1.0,3.0
64951-30-0,0.387,0.132,0.868,0.012,0.028,0.884,0.075,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,,1.0,3.0
64951-35-5,0.467,0.213,0.787,0.012,0.045,0.828,0.115,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,,1.0,3.0
68274-52-2,0.67,0.395,0.605,0.013,0.397,0.492,0.098,Toxic,EPA 3,OutZone,InZone,HalfZone_B,Base Models,,1.0,3.0
7152-03-6,0.964,0.646,0.354,0.01,0.145,0.624,0.221,Nontoxic,EPA 3,OutZone,OutZone,OutZone,Base Models,,1.0,3.0
73356-67-9,0.132,0.217,0.783,0.041,0.194,0.679,0.086,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,,1.0,3.0
74226-22-5,0.955,0.526,0.474,0.012,0.083,0.829,0.076,Nontoxic,EPA 3,InZone,OutZone,HalfZone_M,Base Models,,1.0,3.0
75274-13-4,0.7,0.177,0.823,0.009,0.028,0.901,0.063,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,,1.0,3.0
75274-17-8,0.644,0.21,0.79,0.009,0.025,0.903,0.064,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,,1.0,3.0
75274-21-4,0.601,0.234,0.766,0.014,0.06,0.836,0.089,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,,1.0,3.0
75274-26-9,0.509,0.177,0.823,0.011,0.032,0.906,0.051,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,,1.0,3.0
76874-95-8,0.383,0.497,0.503,0.018,0.159,0.663,0.16,Toxic,EPA 3,InZone,OutZone,HalfZone_M,Base Models,,1.0,3.0
78-12-6,0.495,0.483,0.517,0.056,0.164,0.594,0.186,Toxic,EPA 3,InZone,OutZone,HalfZone_M,Base Models,,1.0,3.0
78467-25-1,0.098,0.068,0.932,0.019,0.196,0.749,0.036,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,,1.0,3.0
78467-44-4,0.231,0.121,0.879,0.016,0.202,0.718,0.065,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,,1.0,3.0
78467-53-5,0.252,0.155,0.845,0.012,0.156,0.732,0.1,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,,1.0,3.0
78484-03-4,0.217,0.161,0.839,0.024,0.113,0.774,0.089,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,,1.0,3.0
79985-90-3,0.066,0.15,0.85,0.163,0.563,0.217,0.057,Toxic,EPA 2,OutZone,OutZone,OutZone,Base Models,,1.0,3.0
80086-34-6,0.574,0.185,0.815,0.014,0.114,0.812,0.06,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,,1.0,3.0
80087-02-1,0.407,0.131,0.869,0.029,0.113,0.817,0.041,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,,1.0,3.0
80463-72-5,0.47,0.074,0.926,0.008,0.039,0.932,0.021,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,,1.0,3.0
80464-03-5,0.464,0.143,0.857,0.015,0.08,0.836,0.069,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,,1.0,3.0
80472-73-7,0.453,0.089,0.911,0.01,0.05,0.912,0.028,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,,1.0,3.0
81479-65-4,0.592,0.269,0.731,0.036,0.054,0.807,0.102,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,,1.0,3.0
827-94-1,0.658,0.435,0.565,0.042,0.229,0.605,0.123,Toxic,EPA 3,InZone,OutZone,HalfZone_M,Base Models,,1.0,3.0
85697-02-5,0.512,0.203,0.797,0.029,0.079,0.831,0.061,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,,1.0,3.0
86379-46-6,0.512,0.71,0.29,0.018,0.078,0.435,0.469,Nontoxic,EPA 4,OutZone,InZone,HalfZone_B,Base Models,,1.0,3.0
939-97-9,1.05,0.526,0.474,0.005,0.078,0.831,0.086,Nontoxic,EPA 3,InZone,OutZone,HalfZone_M,Base Models,,1.0,3.0
96719-44-7,0.345,0.124,0.876,0.016,0.066,0.855,0.063,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,,1.0,3.0
96719-48-1,0.367,0.058,0.942,0.005,0.047,0.91,0.038,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,,1.0,3.0
96719-53-8,0.29,0.052,0.948,0.008,0.045,0.912,0.035,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,,1.0,3.0
96719-61-8,0.305,0.057,0.943,0.006,0.041,0.917,0.035,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,,1.0,3.0
96719-66-3,0.294,0.103,0.897,0.009,0.053,0.894,0.045,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,,1.0,3.0
96719-70-9,0.263,0.105,0.895,0.013,0.054,0.89,0.043,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,,1.0,3.0
97106-80-4,0.309,0.058,0.942,0.011,0.041,0.917,0.032,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,,1.0,3.0
98-79-3,1.094,0.863,0.137,0.02,0.039,0.797,0.145,Nontoxic,EPA 3,OutZone,OutZone,OutZone,Base Models,,1.0,3.0
98518-98-0,0.406,0.04,0.96,0.004,0.031,0.939,0.026,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,,1.0,3.0
98519-04-1,0.394,0.043,0.957,0.005,0.043,0.932,0.02,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,,1.0,3.0
98519-16-5,0.289,0.072,0.928,0.009,0.051,0.91,0.03,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,,1.0,3.0
98519-45-0,0.293,0.066,0.934,0.009,0.047,0.916,0.028,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,,1.0,3.0
98532-67-3,0.345,0.046,0.954,0.007,0.058,0.903,0.033,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,,1.0,3.0
98532-75-3,0.39,0.035,0.965,0.005,0.028,0.944,0.024,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,,1.0,3.0
98532-83-3,0.404,0.042,0.958,0.004,0.036,0.94,0.021,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,,1.0,3.0
666816-98-4,0.299,0.246,0.754,0.101,0.231,0.573,0.095,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,,1.0,3.0
100402-60-6,1.319,0.715,0.285,0.018,0.07,0.497,0.415,Nontoxic,EPA 3,OutZone,InZone,HalfZone_B,Base Models,,0.0,3.0
10109-95-2,0.947,0.798,0.202,0.009,0.076,0.251,0.664,Nontoxic,EPA 4,OutZone,OutZone,OutZone,Base Models,,0.0,3.0
101708-04-7,-0.022,0.528,0.472,0.057,0.23,0.627,0.085,Nontoxic,EPA 3,InZone,OutZone,HalfZone_M,Base Models,,0.0,3.0
102-04-5,0.969,0.665,0.335,0.019,0.06,0.765,0.156,Nontoxic,EPA 3,OutZone,OutZone,OutZone,Base Models,,0.0,3.0
103201-78-1,0.846,0.613,0.387,0.037,0.157,0.554,0.252,Nontoxic,EPA 3,OutZone,OutZone,OutZone,Base Models,,0.0,3.0
104801-96-9,1.125,0.833,0.167,0.022,0.071,0.353,0.554,Nontoxic,EPA 4,OutZone,OutZone,OutZone,Base Models,,0.0,3.0
105-74-8,1.402,0.949,0.051,0.007,0.021,0.463,0.509,Nontoxic,EPA 4,OutZone,OutZone,OutZone,Base Models,,0.0,3.0
106-94-5,0.821,0.388,0.612,0.02,0.193,0.708,0.079,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,,0.0,3.0
109-13-7,1.202,0.763,0.237,0.012,0.055,0.499,0.434,Nontoxic,EPA 3,OutZone,InZone,HalfZone_B,Base Models,,0.0,3.0
110-53-2,0.94,0.699,0.301,0.019,0.087,0.737,0.157,Nontoxic,EPA 3,OutZone,OutZone,OutZone,Base Models,,0.0,3.0
111-05-7,1.001,0.847,0.153,0.012,0.064,0.649,0.275,Nontoxic,EPA 3,OutZone,OutZone,OutZone,Base Models,,0.0,3.0
111696-23-2,0.654,0.893,0.107,0.022,0.024,0.308,0.647,Nontoxic,EPA 4,OutZone,OutZone,OutZone,Base Models,,0.0,3.0
112-39-0,1.386,0.953,0.047,0.007,0.019,0.468,0.507,Nontoxic,EPA 4,OutZone,OutZone,OutZone,Base Models,,0.0,3.0
112764-00-8,1.091,0.807,0.193,0.023,0.087,0.383,0.507,Nontoxic,EPA 4,OutZone,OutZone,OutZone,Base Models,,0.0,3.0
114772-54-2,0.546,0.55,0.45,0.07,0.184,0.611,0.135,Nontoxic,EPA 3,InZone,OutZone,HalfZone_M,Base Models,,0.0,3.0
116337-61-2,0.63,0.882,0.118,0.006,0.036,0.92,0.038,Nontoxic,EPA 3,OutZone,OutZone,OutZone,Base Models,,0.0,3.0
116337-66-7,0.421,0.889,0.111,0.008,0.029,0.927,0.036,Nontoxic,EPA 3,OutZone,OutZone,OutZone,Base Models,,0.0,3.0
116337-73-6,0.62,0.797,0.203,0.011,0.059,0.889,0.041,Nontoxic,EPA 3,OutZone,OutZone,OutZone,Base Models,,0.0,3.0
117570-93-1,0.586,0.537,0.463,0.017,0.168,0.668,0.147,Nontoxic,EPA 3,InZone,OutZone,HalfZone_M,Base Models,,0.0,3.0
119-80-2,0.88,0.705,0.295,0.018,0.095,0.587,0.3,Nontoxic,EPA 3,OutZone,OutZone,OutZone,Base Models,,0.0,3.0
120202-68-8,0.437,0.195,0.805,0.032,0.244,0.636,0.088,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,,0.0,3.0
122892-31-3,0.469,0.403,0.597,0.015,0.104,0.796,0.086,Toxic,EPA 3,InZone,OutZone,HalfZone_M,Base Models,,0.0,3.0
123172-47-4,0.676,0.564,0.436,0.019,0.18,0.745,0.056,Nontoxic,EPA 3,InZone,OutZone,HalfZone_M,Base Models,,0.0,3.0
123172-51-0,0.356,0.877,0.123,0.011,0.039,0.897,0.053,Nontoxic,EPA 3,OutZone,OutZone,OutZone,Base Models,,0.0,3.0
123172-55-4,0.664,0.86,0.14,0.015,0.05,0.887,0.048,Nontoxic,EPA 3,OutZone,OutZone,OutZone,Base Models,,0.0,3.0
123172-60-1,0.414,0.921,0.079,0.008,0.028,0.921,0.042,Nontoxic,EPA 3,OutZone,OutZone,OutZone,Base Models,,0.0,3.0
123172-64-5,0.566,0.902,0.098,0.009,0.034,0.885,0.071,Nontoxic,EPA 3,OutZone,OutZone,OutZone,Base Models,,0.0,3.0
125971-95-1,0.134,0.492,0.508,0.05,0.149,0.59,0.211,Toxic,EPA 3,InZone,OutZone,HalfZone_M,Base Models,,0.0,3.0
1262985-24-9,0.225,0.786,0.214,0.038,0.075,0.755,0.132,Nontoxic,EPA 3,OutZone,OutZone,OutZone,Base Models,,0.0,3.0
128119-70-0,1.006,0.779,0.221,0.011,0.059,0.573,0.358,Nontoxic,EPA 3,OutZone,OutZone,OutZone,Base Models,,0.0,3.0
131631-89-5,0.289,0.359,0.641,0.016,0.176,0.635,0.173,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,,0.0,3.0
133914-85-9,0.634,0.312,0.688,0.043,0.172,0.674,0.111,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,,0.0,3.0
137521-47-2,0.764,0.831,0.169,0.01,0.041,0.872,0.077,Nontoxic,EPA 3,OutZone,OutZone,OutZone,Base Models,,0.0,3.0
137521-51-8,0.561,0.882,0.118,0.014,0.041,0.895,0.05,Nontoxic,EPA 3,OutZone,OutZone,OutZone,Base Models,,0.0,3.0
137521-55-2,0.628,0.846,0.154,0.007,0.05,0.882,0.061,Nontoxic,EPA 3,OutZone,OutZone,OutZone,Base Models,,0.0,3.0
137521-59-6,0.56,0.904,0.096,0.013,0.041,0.831,0.116,Nontoxic,EPA 3,OutZone,OutZone,OutZone,Base Models,,0.0,3.0
137862-53-4,0.487,0.411,0.589,0.014,0.172,0.725,0.089,Toxic,EPA 3,InZone,OutZone,HalfZone_M,Base Models,,0.0,3.0
141573-96-8,0.416,0.305,0.695,0.081,0.198,0.623,0.098,Toxic,EPA 3,OutZone,OutZone,OutZone,Base Models,,0.0,3.0
